[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3765441026.01351,04/26/2019,12:49 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Sp11Cu,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.29,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3765441161.60297,300.076629638672,300.218811035156,0.000608978510596825,5.58753837642688E-8,1,2,13.9012460708618,4.99835924251847,4.91000013425946,0.730532210472988,0.110075336666428,1,-1.69276877001897E-6,,,,,,,,,,,,,,,,,,,,,300.069091796875,300.084167480469,300.218811035156,300.218811035156,52.5852310740344,5.67518030782199,31.7322235107422,28,1,0,0,1,0.309371948242188,32.2580642700195,1,1,1,300.069091796875,0,300.076629638672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441173.1207,300.02131652832,290.055297851562,0.000609036861484077,7.4283123719425E-8,1,2,13.9012460708618,4.99827375888116,4.91000013425946,0.730551582854214,0.110298198944948,1,-1.51364875636933E-6,,,,,,,,,,,,,,,,,,,,,300.021209716797,300.021423339844,290.055297851562,290.055297851562,52.7001304663613,5.67515855839655,31.7819747924805,28,1,0,0,1,0.308914184570313,32.2580642700195,1,1,1,300.021423339844,0,300.02131652832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441182.15286,300.020141601562,280.134613037109,0.0006090780352158,6.32831145726409E-8,1,2,13.9012460708618,4.99824226208666,4.91000013425946,0.73059683924214,0.11028929605539,1,-1.52657722562511E-6,,,,,,,,,,,,,,,,,,,,,300.018798828125,300.021484375,280.134613037109,280.134613037109,52.7415567778806,5.67539458935772,31.8068466186523,28,1,0,0,1,0.309219360351562,32.2580642700195,1,1,1,300.021484375,0,300.020141601562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441194.60675,300.023239135742,270.298919677734,0.000609183293607589,8.12494525473857E-8,1,2,13.9012460708618,4.99829431282526,4.91000013425946,0.730753996987898,0.110178618160094,1,-1.63639088733111E-6,,,,,,,,,,,,,,,,,,,,,300.022796630859,300.023681640625,270.298919677734,270.298919677734,52.6145421435056,5.67487628973415,31.8690338134766,28,1,0,0,1,0.30914306640625,32.2580642700195,1,1,1,300.022796630859,0,300.023239135742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441204.97545,300.064010620117,260.183959960938,0.000609197149571818,6.13088728781719E-8,1,2,13.9012460708618,4.99828752237235,4.91000013425946,0.730752179040795,0.110291899110399,1,-1.54386774796369E-6,,,,,,,,,,,,,,,,,,,,,300.054046630859,300.073974609375,260.183959960938,260.183959960938,52.6551868265056,5.67503267750424,31.9187812805176,28,1,0,0,1,0.310592651367188,32.2580642700195,1,1,1,300.073974609375,0,300.064010620117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441214.60746,300.148834228516,250.166168212891,0.00060920337058147,7.96619029256E-8,1,2,13.9012460708618,4.99823510335212,4.91000013425946,0.73071583825384,0.11050630828445,1,-1.3646462178573E-6,,,,,,,,,,,,,,,,,,,,,300.137481689453,300.160186767578,250.166168212891,250.166168212891,52.6219676144383,5.67517684478412,31.9312171936035,28,1,0,0,1,0.309066772460937,32.7468223571777,1,1,1,300.160186767578,0,300.148834228516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441225.61763,300.259307861328,240.245483398438,0.000609246401848162,2.91118530033283E-8,1,2,13.9012460708618,4.9981688207302,4.91000013425946,0.730794305957306,0.110248101581784,1,-1.5848756285261E-6,,,,,,,,,,,,,,,,,,,,,300.249206542969,300.269409179687,240.245483398438,240.245483398438,52.7442924776979,5.6754906148878,31.9685287475586,28,1,0,0,1,0.308914184570313,32.2580642700195,1,1,1,300.269409179687,0,300.259307861328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441240.90295,300.372848510742,230.106246948242,0.000609231544022288,5.58082593332078E-8,1,2,13.9012460708618,4.99813991454532,4.91000013425946,0.730781392160492,0.110173714855981,1,-1.6438843695237E-6,,,,,,,,,,,,,,,,,,,,,300.371520996094,300.374176025391,230.106246948242,230.106246948242,52.671991839669,5.67541746050764,32.0307159423828,28,1,0,0,1,0.309066772460937,32.2580642700195,1,1,1,300.374298095703,0,300.372848510742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441250.43861,300.36540222168,220.185562133789,0.000609250591814193,5.44236061706254E-8,1,2,13.9012460708618,4.9981488534114,4.91000013425946,0.730800002315375,0.110217049622696,1,-1.61089858102735E-6,,,,,,,,,,,,,,,,,,,,,300.363067626953,300.367736816406,220.185562133789,220.185562133789,52.5828861884767,5.67534307644054,32.0928993225098,28,1,0,0,1,0.309219360351562,32.7468223571777,1,1,1,300.363067626953,0,300.36540222168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441261.36428,300.330154418945,210.09489440918,0.000609293032699705,7.50115928359978E-8,1,2,13.9012460708618,4.9982985039049,4.91000013425946,0.730891608163637,0.110165325353072,1,-1.66443287574268E-6,,,,,,,,,,,,,,,,,,,,,300.326416015625,300.333892822266,210.09489440918,210.09489440918,52.6844978959767,5.67469642853817,32.1302108764648,28,1,0,0,1,0.309066772460937,32.2580642700195,1,1,1,300.326416015625,0,300.330154418945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441271.12448,300.309814453125,200.149917602539,0.000609300224455284,7.12630175891278E-8,1,2,13.9012460708618,4.99817221030767,4.91000013425946,0.730863082095649,0.11023504076858,1,-1.60411938294092E-6,,,,,,,,,,,,,,,,,,,,,300.309600830078,300.310028076172,200.149917602539,200.149917602539,52.6168870290633,5.67472081295916,32.1799621582031,28,1,0,0,1,0.3082275390625,32.2580642700195,1,1,1,300.310028076172,0,300.309814453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441286.1238,300.338043212891,190.204971313477,0.000609319403931058,5.02522547008992E-8,1,2,13.9012460708618,4.99789816726089,4.91000013425946,0.730840419634769,0.110159292366305,1,-1.66313330660025E-6,,,,,,,,,,,,,,,,,,,,,300.333923339844,300.342163085937,190.204971313477,190.204971313477,52.6004728301594,5.67561116668575,32.2172737121582,28,1,0,0,1,0.309600830078125,32.2580642700195,1,1,1,300.33349609375,0,300.338043212891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441296.60038,300.309097290039,180.053573608398,0.000609315404789049,7.27102714341001E-8,1,2,13.9012460708618,4.99811524665141,4.91000013425946,0.730873949557858,0.110207309049606,1,-1.6281009138091E-6,,,,,,,,,,,,,,,,,,,,,300.30322265625,300.314971923828,180.053573608398,180.053573608398,52.6571408978036,5.67483822830268,32.2794570922852,28,1,0,0,1,0.308151245117188,32.7468223571777,1,1,1,300.30322265625,0,300.309097290039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441307.81287,300.213989257812,170.145050048828,0.000609271637587802,4.91784732085108E-8,1,2,13.9012460708618,4.99806324336683,4.91000013425946,0.730767277379194,0.110480787066466,1,-1.39194260897861E-6,,,,,,,,,,,,,,,,,,,,,300.199920654297,300.228057861328,170.145050048828,170.145050048828,52.6532327552075,5.67469868224538,32.3167686462402,28,1,0,0,1,0.309829711914063,32.2580642700195,1,1,1,300.199920654297,0,300.213989257812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441317.08389,300.130981445313,160.248657226562,0.000609365873707464,4.83665657254434E-8,1,2,13.9012460708618,4.99757866028618,4.91000013425946,0.730817624716553,0.110240002089341,1,-1.59465768081718E-6,,,,,,,,,,,,,,,,,,,,,300.124450683594,300.137512207031,160.248657226562,160.248657226562,52.6911417383902,5.67800034468778,32.3665161132812,28,1,0,0,1,0.30914306640625,32.2580642700195,1,1,1,300.124450683594,0,300.130981445313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
